combination,correlation,,,,
hands + fingers + dont_cross_home + same_row + strong_fingers,-0.110296882,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strum,-0.110158644,,,,
hands + skip_fingers + dont_cross_home + same_row + strong_fingers,-0.110112179,,,,
hands + fingers + dont_cross_home + home_row + columns,-0.109705772,,,,
hands + dont_cross_home + same_row + home_row + strum,-0.109644805,,,,
skip_fingers + dont_cross_home + same_row + strong_fingers,-0.109613913,,,,
hands + skip_fingers + dont_cross_home + same_row + columns + strong_fingers,-0.109608247,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + strum,-0.109480052,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row,-0.109412685,,,,
hands + fingers + skip_fingers + home_row + columns,-0.109368436,,,,
hands + fingers + dont_cross_home,-0.109148238,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row + strum,-0.10913792,,,,
hands + fingers + dont_cross_home + home_row,-0.108607847,,,,
hands + fingers + skip_fingers + dont_cross_home,-0.108132862,,,,
hands + fingers + skip_fingers + home_row,-0.1079771,,,,
hands + fingers + home_row + columns,-0.107856222,,,,
hands + fingers + same_row + strong_fingers,-0.10771516,,,,
hands + dont_cross_home + same_row + home_row + columns + strum,-0.107322732,,,,
hands + fingers + skip_fingers + same_row + home_row + strum,-0.10697359,,,,
hands + skip_fingers + dont_cross_home + home_row + columns,-0.106813758,,,,
hands + fingers + same_row + columns + strong_fingers,-0.106781648,,,,
hands + dont_cross_home + same_row + home_row + strong_fingers,-0.106591173,,,,
hands + fingers + dont_cross_home + columns,-0.106236156,,,,
hands + fingers + dont_cross_home + same_row + strum,-0.106108319,,,,
dont_cross_home + same_row + home_row + columns,-0.10605878,,,,
hands + fingers + home_row,-0.106021921,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + columns + strum,-0.106013398,,,,
hands + dont_cross_home + same_row + home_row + columns + strong_fingers,-0.10584459,,,,
hands + skip_fingers + same_row + strong_fingers,-0.105780476,,,,
hands + skip_fingers + dont_cross_home + same_row + strum,-0.105764553,,,,
hands + fingers + skip_fingers + dont_cross_home + columns,-0.105763437,,,,
hands + skip_fingers + dont_cross_home + home_row,-0.105648657,,,,
skip_fingers + dont_cross_home + same_row + home_row + strum,-0.105525417,,,,
hands + skip_fingers + same_row + columns + strong_fingers,-0.105493176,,,,
hands + same_row + home_row + strong_fingers,-0.1054858,,,,
hands + fingers + skip_fingers + same_row + home_row + columns + strum,-0.105314805,,,,
hands + dont_cross_home + home_row + columns,-0.105231051,,,,
skip_fingers + same_row + strong_fingers,-0.105214317,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.105178285,,,,
hands + skip_fingers + home_row + columns,-0.10501497,,,,
hands + same_row + home_row + columns + strong_fingers,-0.104821684,,,,
hands + skip_fingers + home_row,-0.104475415,,,,
skip_fingers + dont_cross_home + same_row + columns + strong_fingers,-0.104430272,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,-0.103862238,,,,
hands + dont_cross_home + home_row,-0.103397547,,,,
hands + skip_fingers + dont_cross_home,-0.102933571,,,,
hands + skip_fingers + same_row + home_row + strum,-0.102647273,,,,
hands + skip_fingers + dont_cross_home + same_row + columns + strum,-0.102525792,,,,
fingers + skip_fingers + dont_cross_home,-0.102251564,,,,
dont_cross_home + same_row + columns,-0.102089147,,,,
fingers + skip_fingers + dont_cross_home + same_row + strum,-0.101833663,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum,-0.101737244,,,,
hands + dont_cross_home,-0.101459073,,,,
hands + fingers + dont_cross_home + same_row + columns + strum,-0.101195821,,,,
hands + fingers + skip_fingers + same_row + strum,-0.101144151,,,,
hands + dont_cross_home + same_row + strum,-0.10101461,,,,
hands + skip_fingers + dont_cross_home + columns,-0.101000821,,,,
hands + fingers + skip_fingers,-0.100826259,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,-0.100688987,,,,
hands + fingers,-0.100505001,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.100481733,,,,
hands + skip_fingers + same_row + home_row + columns + strum,-0.10038128,,,,
skip_fingers + same_row + columns + strong_fingers,-0.100239921,,,,
fingers + skip_fingers + same_row + home_row + strum,-0.100189567,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.100068968,,,,
hands + fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.099973443,,,,
fingers + dont_cross_home + columns,-0.099871521,,,,
hands + fingers + same_row + home_row + strum,-0.099681197,,,,
hands + fingers + skip_fingers + columns,-0.099458194,,,,
hands + home_row + columns,-0.099272437,,,,
hands + dont_cross_home + columns,-0.099202849,,,,
hands + fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,-0.099199292,,,,
hands + fingers + columns,-0.09896416,,,,
fingers + dont_cross_home + same_row + home_row + strum,-0.098961865,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + strum + strong_fingers,-0.098835716,,,,
hands + home_row,-0.098492459,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,-0.098401667,,,,
hands + fingers + skip_fingers + same_row + columns + strum,-0.098385944,,,,
skip_fingers + dont_cross_home + same_row + home_row + columns + strum,-0.098173701,,,,
skip_fingers + dont_cross_home + same_row + strum,-0.098058381,,,,
dont_cross_home + same_row + home_row + columns + strong_fingers,-0.097789718,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row + columns + strum,-0.097519976,,,,
hands + fingers + same_row + home_row + columns + strum,-0.097337055,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,-0.097025847,,,,
hands + dont_cross_home + same_row + strong_fingers,-0.097016774,,,,
hands + dont_cross_home + same_row + columns + strum,-0.096865799,,,,
skip_fingers + dont_cross_home,-0.096820272,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row + strum,-0.096816965,,,,
dont_cross_home + same_row + strong_fingers,-0.096789539,,,,
fingers + skip_fingers + dont_cross_home + columns,-0.0967095,,,,
dont_cross_home + same_row + home_row + strong_fingers,-0.096572211,,,,
fingers + dont_cross_home + same_row + strum,-0.096559468,,,,
fingers + skip_fingers + dont_cross_home + same_row + columns + strum,-0.09639791,,,,
hands + skip_fingers + same_row + strum,-0.096259356,,,,
hands + skip_fingers,-0.096166246,,,,
skip_fingers + same_row + home_row + strum,-0.095891052,,,,
fingers + dont_cross_home + home_row,-0.095715915,,,,
skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.095342325,,,,
skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,-0.095336661,,,,
hands + fingers + dont_cross_home + home_row + columns + strong_fingers,-0.095245575,,,,
same_row + home_row + columns,-0.095199827,,,,
fingers + same_row + strong_fingers,-0.095064272,,,,
fingers + skip_fingers,-0.094610069,,,,
hands + fingers + same_row + strum,-0.094603013,,,,
hands + dont_cross_home + same_row + columns + strong_fingers,-0.094355693,,,,
fingers + dont_cross_home + same_row + home_row + columns + strum,-0.094217077,,,,
dont_cross_home,-0.094203284,,,,
hands + skip_fingers + columns,-0.094139193,,,,
hands + skip_fingers + dont_cross_home + home_row + columns + strum,-0.093957789,,,,
hands + skip_fingers + dont_cross_home + same_row + strum + strong_fingers,-0.093929415,,,,
hands + skip_fingers + dont_cross_home + home_row + strum,-0.093838814,,,,
fingers + skip_fingers + dont_cross_home + home_row,-0.093804939,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,-0.093621923,,,,
hands + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.093376571,,,,
fingers + skip_fingers + same_row + strum,-0.093359723,,,,
fingers + skip_fingers + same_row + home_row + columns + strum,-0.093214159,,,,
hands + skip_fingers + same_row + columns + strum,-0.093099603,,,,
hands + fingers + dont_cross_home + same_row + strum + strong_fingers,-0.093009169,,,,
hands + fingers + dont_cross_home + home_row + columns + strum,-0.09293377,,,,
hands + skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,-0.092933383,,,,
skip_fingers + dont_cross_home + same_row + columns + strum,-0.092876447,,,,
hands + same_row + home_row + strum,-0.092875888,,,,
hands + fingers + dont_cross_home + home_row + strong_fingers,-0.092831438,,,,
dont_cross_home + same_row + columns + strong_fingers,-0.092642103,,,,
fingers + skip_fingers + dont_cross_home + same_row + strum + strong_fingers,-0.092583565,,,,
hands + fingers + dont_cross_home + home_row + strum,-0.092582497,,,,
fingers + dont_cross_home + home_row + columns,-0.092520429,,,,
dont_cross_home + same_row + home_row + strum,-0.092501704,,,,
fingers + skip_fingers + home_row,-0.092330709,,,,
hands + dont_cross_home + same_row + home_row + strum + strong_fingers,-0.092091376,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row + strong_fingers,-0.091958007,,,,
skip_fingers + dont_cross_home + columns,-0.091817986,,,,
hands + fingers + skip_fingers + home_row + columns + strong_fingers,-0.09176256,,,,
hands + fingers + skip_fingers + same_row + home_row + columns + strum + strong_fingers,-0.091574735,,,,
hands + fingers + same_row + columns + strum,-0.090777532,,,,
hands + same_row + strong_fingers,-0.09062468,,,,
fingers + skip_fingers + dont_cross_home + home_row + columns,-0.090530238,,,,
fingers + same_row + columns,-0.090519794,,,,
hands + fingers + dont_cross_home + same_row + columns + strum + strong_fingers,-0.090319214,,,,
skip_fingers + dont_cross_home + home_row,-0.090128522,,,,
hands,-0.08999081,,,,
hands + same_row + home_row + columns + strum,-0.089837036,,,,
skip_fingers,-0.089730481,,,,
hands + fingers + skip_fingers + same_row + home_row + strum + strong_fingers,-0.089614424,,,,
fingers + skip_fingers + home_row + columns,-0.089590422,,,,
hands + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,-0.089576002,,,,
hands + fingers + skip_fingers + home_row + strong_fingers,-0.089378092,,,,
hands + fingers + home_row + columns + strong_fingers,-0.089025365,,,,
hands + fingers + skip_fingers + dont_cross_home + strum,-0.089017428,,,,
fingers + dont_cross_home + same_row + columns + strum,-0.088959511,,,,
skip_fingers + home_row,-0.08889425,,,,
fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,-0.088785756,,,,
fingers + skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,-0.08876183,,,,
fingers + skip_fingers + columns,-0.088668478,,,,
hands + fingers + skip_fingers + dont_cross_home + columns + strum,-0.088476204,,,,
skip_fingers + same_row + strum,-0.088390839,,,,
hands + same_row + columns + strong_fingers,-0.088378328,,,,
skip_fingers + same_row + home_row + columns + strum,-0.088250785,,,,
fingers,-0.087822533,,,,
hands + dont_cross_home + home_row + strum,-0.087704618,,,,
skip_fingers + dont_cross_home + same_row + strum + strong_fingers,-0.087659638,,,,
hands + same_row + strum,-0.087644415,,,,
hands + dont_cross_home + home_row + columns + strong_fingers,-0.087626395,,,,
same_row,-0.087500143,,,,
hands + dont_cross_home + home_row + columns + strum,-0.08746803,,,,
hands + columns,-0.087186957,,,,
hands + dont_cross_home + same_row + strum + strong_fingers,-0.087075099,,,,
dont_cross_home + same_row + strum,-0.087009881,,,,
hands + fingers + skip_fingers + same_row + strum + strong_fingers,-0.086904877,,,,
hands + skip_fingers + dont_cross_home + home_row + strong_fingers,-0.086902492,,,,
skip_fingers + dont_cross_home + home_row + columns,-0.086812835,,,,
fingers + skip_fingers + same_row + columns + strum,-0.086778787,,,,
fingers + skip_fingers + same_row + home_row + strum + strong_fingers,-0.086391646,,,,
fingers + skip_fingers + same_row + home_row + columns + strum + strong_fingers,-0.08636913,,,,
fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.086063131,,,,
hands + fingers + skip_fingers + same_row + columns + strum + strong_fingers,-0.085939604,,,,
dont_cross_home + same_row + home_row + columns + strum,-0.085935737,,,,
hands + fingers + home_row + strong_fingers,-0.085914593,,,,
same_row + home_row + strong_fingers,-0.085379679,,,,
hands + skip_fingers + dont_cross_home + strum,-0.085240418,,,,
hands + dont_cross_home + home_row + strong_fingers,-0.085156702,,,,
hands + dont_cross_home + same_row + columns + strum + strong_fingers,-0.085047201,,,,
skip_fingers + home_row + columns,-0.084995876,,,,
hands + fingers + same_row + home_row + columns + strum + strong_fingers,-0.084960651,,,,
skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,-0.084652011,,,,
hands + skip_fingers + same_row + home_row + columns + strum + strong_fingers,-0.084595473,,,,
fingers + dont_cross_home + home_row + strong_fingers,-0.084206797,,,,
fingers + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,-0.084177594,,,,
hands + skip_fingers + dont_cross_home + columns + strum,-0.0841355,,,,
hands + skip_fingers + home_row + columns + strong_fingers,-0.083582451,,,,
hands + fingers + same_row + home_row + strum + strong_fingers,-0.083525518,,,,
hands + skip_fingers + same_row + home_row + strum + strong_fingers,-0.083327097,,,,
fingers + skip_fingers + dont_cross_home + home_row + strong_fingers,-0.083249041,,,,
hands + same_row + columns + strum,-0.083190621,,,,
skip_fingers + columns,-0.083158431,,,,
hands + fingers + skip_fingers + home_row + columns + strum,-0.082420432,,,,
fingers + skip_fingers + home_row + columns + strong_fingers,-0.082269016,,,,
hands + fingers + dont_cross_home + strum,-0.082091206,,,,
fingers + dont_cross_home + home_row + columns + strong_fingers,-0.082078285,,,,
hands + skip_fingers + home_row + strong_fingers,-0.081968521,,,,
hands + fingers + dont_cross_home + columns + strum,-0.081897723,,,,
hands + fingers + skip_fingers + home_row + strum,-0.081742856,,,,
same_row + home_row + columns + strong_fingers,-0.081623977,,,,
skip_fingers + same_row + columns + strum,-0.08142403,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,-0.0808736,,,,
fingers + dont_cross_home + same_row + strum + strong_fingers,-0.080688445,,,,
fingers + skip_fingers + home_row + strong_fingers,-0.080624964,,,,
fingers + skip_fingers + same_row + strum + strong_fingers,-0.080600895,,,,
hands + skip_fingers + same_row + strum + strong_fingers,-0.080530291,,,,
skip_fingers + same_row + home_row + strum + strong_fingers,-0.080205904,,,,
fingers + home_row,-0.080197787,,,,
dont_cross_home + home_row,-0.080139768,,,,
fingers + same_row + columns + strong_fingers,-0.079881542,,,,
dont_cross_home + same_row + home_row + strum + strong_fingers,-0.07959975,,,,
hands + skip_fingers + home_row + columns + strum,-0.079589075,,,,
skip_fingers + same_row + home_row + columns + strum + strong_fingers,-0.079340539,,,,
hands + fingers + same_row + strum + strong_fingers,-0.079124653,,,,
skip_fingers + dont_cross_home + home_row + columns + strong_fingers,-0.079118138,,,,
hands + skip_fingers + home_row + strum,-0.079108922,,,,
hands + skip_fingers + same_row + columns + strum + strong_fingers,-0.078902406,,,,
fingers + same_row + home_row + strum,-0.078799679,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row + strum + strong_fingers,-0.078547873,,,,
fingers + skip_fingers + same_row + columns + strum + strong_fingers,-0.077618639,,,,
skip_fingers + dont_cross_home + home_row + strong_fingers,-0.077505457,,,,
hands + fingers + dont_cross_home + columns + strong_fingers,-0.077487989,,,,
fingers + dont_cross_home + same_row + columns + strum + strong_fingers,-0.077466448,,,,
hands + fingers + same_row + columns + strum + strong_fingers,-0.077295839,,,,
columns + strong_fingers,0.077153944,,,,
fingers + skip_fingers + dont_cross_home + strum,-0.0765894,,,,
hands + fingers + skip_fingers + dont_cross_home + columns + strong_fingers,-0.076440627,,,,
dont_cross_home + same_row + columns + strum,-0.076236711,,,,
hands + skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,-0.075588585,,,,
fingers + skip_fingers + dont_cross_home + home_row + strum,-0.075571754,,,,
hands + dont_cross_home + strum,-0.075459287,,,,
hands + same_row + home_row + columns + strum + strong_fingers,-0.075390702,,,,
hands + home_row + columns + strong_fingers,-0.074957347,,,,
hands + fingers + home_row + columns + strum,-0.07487555,,,,
hands + same_row + home_row + strum + strong_fingers,-0.074808313,,,,
hands + fingers + dont_cross_home + strong_fingers,-0.074580944,,,,
hands + dont_cross_home + columns + strum,-0.074579835,,,,
dont_cross_home + same_row + home_row + columns + strum + strong_fingers,-0.074542167,,,,
hands + fingers + home_row + strum,-0.074499943,,,,
dont_cross_home + home_row + columns,-0.074270448,,,,
skip_fingers + same_row + strum + strong_fingers,-0.074191739,,,,
hands + fingers + dont_cross_home + home_row + columns + strum + strong_fingers,-0.074112331,,,,
hands + skip_fingers + dont_cross_home + home_row + strum + strong_fingers,-0.073885808,,,,
hands + fingers + skip_fingers + dont_cross_home + strong_fingers,-0.073540669,,,,
hands + home_row + strong_fingers,-0.073433338,,,,
skip_fingers + home_row + columns + strong_fingers,-0.072989828,,,,
skip_fingers + dont_cross_home + strum,-0.072704012,,,,
skip_fingers + dont_cross_home + home_row + strum,-0.072557333,,,,
hands + fingers + skip_fingers + columns + strum,-0.072519015,,,,
skip_fingers + home_row + strong_fingers,-0.072471835,,,,
hands + fingers + skip_fingers + strum,-0.072191125,,,,
fingers + skip_fingers + dont_cross_home + home_row + columns + strum,-0.072185121,,,,
fingers + home_row + columns,-0.07216697,,,,
hands + fingers + dont_cross_home + home_row + strum + strong_fingers,-0.07168522,,,,
same_row + home_row + strum,-0.071480233,,,,
hands + skip_fingers + dont_cross_home + columns + strong_fingers,-0.070810123,,,,
skip_fingers + same_row + columns + strum + strong_fingers,-0.070542005,,,,
dont_cross_home + columns,-0.070507105,,,,
hands + same_row + strum + strong_fingers,-0.070444137,,,,
hands + fingers + skip_fingers + columns + strong_fingers,-0.069948553,,,,
fingers + skip_fingers + dont_cross_home + columns + strong_fingers,-0.069790091,,,,
fingers + skip_fingers + dont_cross_home + columns + strum,-0.069366104,,,,
hands + skip_fingers + columns + strum,-0.068853638,,,,
hands + home_row + columns + strum,-0.068812178,,,,
hands + fingers + columns + strum,-0.068764031,,,,
dont_cross_home + same_row + strum + strong_fingers,-0.068643714,,,,
skip_fingers + dont_cross_home + home_row + columns + strum,-0.06858425,,,,
hands + skip_fingers + strum,-0.068388388,,,,
hands + home_row + strum,-0.068273343,,,,
hands + fingers + strum,-0.068225236,,,,
fingers + same_row + home_row + columns + strum,-0.068192424,,,,
fingers + skip_fingers + dont_cross_home + strong_fingers,-0.068018564,,,,
hands + dont_cross_home + columns + strong_fingers,-0.067999194,,,,
hands + same_row + columns + strum + strong_fingers,-0.067947446,,,,
hands + skip_fingers + dont_cross_home + strong_fingers,-0.067201666,,,,
hands + dont_cross_home + home_row + columns + strum + strong_fingers,-0.066944273,,,,
fingers + skip_fingers + dont_cross_home + home_row + strum + strong_fingers,-0.066378805,,,,
fingers + skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,-0.06617433,,,,
hands + fingers + columns + strong_fingers,-0.066034822,,,,
hands + fingers + skip_fingers + strong_fingers,-0.065975971,,,,
same_row + columns,-0.065397128,,,,
strong_fingers,0.065384589,,,,
fingers + same_row + home_row + strum + strong_fingers,-0.065333205,,,,
hands + dont_cross_home + home_row + strum + strong_fingers,-0.06532099,,,,
hands + fingers + skip_fingers + home_row + columns + strum + strong_fingers,-0.065229524,,,,
skip_fingers + dont_cross_home + columns + strum,-0.064949594,,,,
hands + dont_cross_home + strong_fingers,-0.064714559,,,,
skip_fingers + dont_cross_home + columns + strong_fingers,-0.064084761,,,,
dont_cross_home + home_row + strong_fingers,-0.0634043,,,,
fingers + same_row + strum,-0.063182981,,,,
fingers + skip_fingers + columns + strong_fingers,-0.063145811,,,,
hands + fingers + skip_fingers + home_row + strum + strong_fingers,-0.062987603,,,,
dont_cross_home + same_row + columns + strum + strong_fingers,-0.062352237,,,,
hands + fingers + strong_fingers,-0.062061405,,,,
skip_fingers + dont_cross_home + home_row + strum + strong_fingers,-0.061684122,,,,
skip_fingers + dont_cross_home + strong_fingers,-0.061644234,,,,
fingers + dont_cross_home + columns + strong_fingers,-0.060878012,,,,
skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,-0.06084084,,,,
same_row + strong_fingers,-0.060820029,,,,
hands + fingers + home_row + columns + strum + strong_fingers,-0.060768718,,,,
fingers + skip_fingers + home_row + strum,-0.060365526,,,,
fingers + skip_fingers + strong_fingers,-0.060356978,,,,
hands + columns + strum,-0.060092144,,,,
hands + skip_fingers + columns + strong_fingers,-0.06007383,,,,
hands + skip_fingers + home_row + columns + strum + strong_fingers,-0.059345311,,,,
fingers + skip_fingers + strum,-0.059334342,,,,
fingers + dont_cross_home + home_row + strum,-0.059223815,,,,
fingers + dont_cross_home + strong_fingers,-0.059219321,,,,
hands + strum,-0.058631143,,,,
hands + fingers + home_row + strum + strong_fingers,-0.058379521,,,,
fingers + same_row + home_row + columns + strum + strong_fingers,-0.058303231,,,,
home_row,-0.057709354,,,,
skip_fingers + home_row + strum,-0.057699869,,,,
same_row + home_row + columns + strum,-0.057485775,,,,
hands + skip_fingers + strong_fingers,-0.057304586,,,,
hands + fingers + skip_fingers + dont_cross_home + columns + strum + strong_fingers,-0.057200173,,,,
